nom_compteur,Annee,Mois,Jour,jour_semaine_numero,jour_we,vac_aout,PRECIP_TOTAL_DAY_MM,TOTAL_SNOW_MM,TEMPERATURE_MEAN,jours_feries,Confinement,OPINION,sum_counts
10 avenue de la Grande Armée SE-NO,2023,2,19,6,1,0,0.0,0.0,11.75,0,0,1,540.0
10 avenue de la Grande Armée SE-NO,2023,2,20,0,0,0,0.0,0.0,10.0,0,0,2,696.0
10 avenue de la Grande Armée SE-NO,2023,2,21,1,0,0,0.0,0.0,9.75,0,0,2,832.0
10 avenue de la Grande Armée SE-NO,2023,2,22,2,0,0,0.3,0.0,10.0,0,0,1,676.0
10 avenue de la Grande Armée SE-NO,2023,2,23,3,0,0,0.3,0.0,8.0,0,0,1,669.0
10 avenue de la Grande Armée SE-NO,2023,2,24,4,0,0,0.0,0.0,6.75,0,0,0,651.0
10 avenue de la Grande Armée SE-NO,2023,2,25,5,1,0,0.0,0.0,5.5,0,0,0,458.0
10 avenue de la Grande Armée SE-NO,2023,2,26,6,1,0,0.0,0.0,4.0,0,0,0,387.0
10 avenue de la Grande Armée SE-NO,2023,2,27,0,0,0,0.0,0.0,3.5,0,0,0,547.0
10 avenue de la Grande Armée SE-NO,2023,2,28,1,0,0,0.0,0.0,2.75,0,0,0,606.0
10 avenue de la Grande Armée SE-NO,2023,3,1,2,0,0,0.0,0.0,3.5,0,0,0,550.0
10 avenue de la Grande Armée SE-NO,2023,3,2,3,0,0,0.0,0.0,3.75,0,0,0,609.0
10 avenue de la Grande Armée SE-NO,2023,3,3,4,0,0,0.0,0.0,5.25,0,0,0,527.0
10 avenue de la Grande Armée SE-NO,2023,3,4,5,1,0,0.0,0.0,3.25,0,0,0,405.0
10 avenue de la Grande Armée SE-NO,2023,3,5,6,1,0,0.0,0.0,6.5,0,0,0,448.0
10 avenue de la Grande Armée SE-NO,2023,3,6,0,0,0,0.0,0.0,6.0,0,0,0,658.0
10 avenue de la Grande Armée SE-NO,2023,3,7,1,0,0,0.0,0.0,5.75,0,0,0,853.0
10 avenue de la Grande Armée SE-NO,2023,3,8,2,0,0,3.0,0.0,10.25,0,0,1,756.0
10 avenue de la Grande Armée SE-NO,2023,3,9,3,0,0,0.8,0.0,11.75,0,0,1,777.0
10 avenue de la Grande Armée SE-NO,2023,3,10,4,0,0,0.4,0.0,7.75,0,0,1,579.0
10 avenue de la Grande Armée SE-NO,2023,3,11,5,1,0,0.0,0.0,5.25,0,0,0,469.0
10 avenue de la Grande Armée SE-NO,2023,3,12,6,1,0,0.1,0.0,10.75,0,0,1,431.0
10 avenue de la Grande Armée SE-NO,2023,3,13,0,0,0,0.1,0.0,14.5,0,0,1,752.0
10 avenue de la Grande Armée SE-NO,2023,3,14,1,0,0,0.6,0.0,9.5,0,0,1,705.0
10 avenue de la Grande Armée SE-NO,2023,3,15,2,0,0,0.0,0.0,5.75,0,0,0,865.0
10 avenue de la Grande Armée SE-NO,2023,3,16,3,0,0,0.0,0.0,10.75,0,0,2,997.0
10 avenue de la Grande Armée SE-NO,2023,3,17,4,0,0,0.0,0.0,12.5,0,0,2,846.0
10 avenue de la Grande Armée SE-NO,2023,3,18,5,1,0,0.3,0.0,12.5,0,0,1,567.0
10 avenue de la Grande Armée SE-NO,2023,3,19,6,1,0,0.0,0.0,12.0,0,0,1,480.0
10 avenue de la Grande Armée SE-NO,2023,3,20,0,0,0,0.0,0.0,11.75,0,0,2,947.0
10 avenue de la Grande Armée SE-NO,2023,3,21,1,0,0,0.1,0.0,11.25,0,0,1,908.0
10 avenue de la Grande Armée SE-NO,2023,3,22,2,0,0,1.3,0.0,10.5,0,0,1,802.0
10 avenue de la Grande Armée SE-NO,2023,3,23,3,0,0,0.8,0.0,11.75,0,0,1,1023.0
10 avenue de la Grande Armée SE-NO,2023,3,24,4,0,0,0.7,0.0,13.0,0,0,1,770.0
10 avenue de la Grande Armée SE-NO,2023,3,25,5,1,0,0.4,0.0,11.25,0,0,1,565.0
10 avenue de la Grande Armée SE-NO,2023,3,26,6,1,0,2.8,0.0,9.0,0,0,1,417.0
10 avenue de la Grande Armée SE-NO,2023,3,27,0,0,0,0.0,0.0,7.75,0,0,1,637.0
10 avenue de la Grande Armée SE-NO,2023,3,28,1,0,0,0.0,0.0,7.0,0,0,2,895.0
10 avenue de la Grande Armée SE-NO,2023,3,29,2,0,0,0.0,0.0,13.25,0,0,3,912.0
10 avenue de la Grande Armée SE-NO,2023,3,30,3,0,0,0.3,0.0,14.75,0,0,1,864.0
10 avenue de la Grande Armée SE-NO,2023,3,31,4,0,0,2.2,0.0,11.5,0,0,1,725.0
10 avenue de la Grande Armée SE-NO,2023,4,1,5,1,0,2.0,0.0,10.25,0,0,1,497.0
10 avenue de la Grande Armée SE-NO,2023,4,2,6,1,0,0.0,0.0,10.25,0,0,2,911.0
10 avenue de la Grande Armée SE-NO,2023,4,3,0,0,0,0.0,0.0,7.25,0,0,2,811.0
